id,payload,actual,predicted
fuzzdb_51,1'1,sql_injection,benign
fuzzdb_52,1 exec sp_ (or exec xp_),sql_injection,benign
fuzzdb_53,1 and 1=1,sql_injection,benign
fuzzdb_55,1 or 1=1,sql_injection,benign
fuzzdb_57,1or1=1,sql_injection,benign
fuzzdb_60,1,sql_injection,benign
fuzzdb_61,1 and user_name() = 'dbo',sql_injection,benign
fuzzdb_63,1\'1,sql_injection,benign
fuzzdb_64,1' and non_existant_table = '1,sql_injection,benign
fuzzdb_65,' or username is not NULL or username = ',sql_injection,benign
fuzzdb_66,"1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116",sql_injection,benign
fuzzdb_69,’ or ‘1’=’1,sql_injection,benign
fuzzdb_71,'||utl_http.request('httP://192.168.1.1/')||',sql_injection,benign
fuzzdb_72,"' || myappadmin.adduser('admin', 'newpass') || '",sql_injection,benign
fuzzdb_123,"<>""'%;)(&+",sql_injection,benign
fuzzdb_124,|,sql_injection,benign
fuzzdb_125,!,sql_injection,benign
fuzzdb_126,?,sql_injection,benign
fuzzdb_127,/,sql_injection,benign
fuzzdb_128,//,sql_injection,benign
fuzzdb_129,//*,sql_injection,benign
fuzzdb_130,',sql_injection,benign
fuzzdb_132,(,sql_injection,benign
fuzzdb_133,),sql_injection,benign
fuzzdb_134,*|,sql_injection,benign
fuzzdb_135,*/*,sql_injection,benign
fuzzdb_136,&,sql_injection,benign
fuzzdb_137,0,sql_injection,benign
fuzzdb_138,031003000270000,sql_injection,benign
fuzzdb_139,0 or 1=1,sql_injection,benign
fuzzdb_140,0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),sql_injection,benign
fuzzdb_141,0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,sql_injection,benign
fuzzdb_142,0x77616974666F722064656C61792027303A303A31302700 exec(@s),sql_injection,benign
fuzzdb_143,"1;(load_file(char(47,101,116,99,47,112,97,115,115,119,100))),1,1,1;",sql_injection,benign
fuzzdb_144,1 or 1=1,sql_injection,benign
fuzzdb_145,1;SELECT%20*,sql_injection,benign
fuzzdb_147,'%20or%20''=',sql_injection,benign
fuzzdb_148,'%20or%201=1,sql_injection,benign
fuzzdb_149,')%20or%20('x'='x,sql_injection,benign
fuzzdb_150,'%20or%20'x'='x,sql_injection,benign
fuzzdb_151,%20or%20x=x,sql_injection,benign
fuzzdb_152,%20'sleep%2050',sql_injection,benign
fuzzdb_153,%20$(sleep%2050),sql_injection,benign
fuzzdb_154,%21,sql_injection,benign
fuzzdb_155,23 OR 1=1,sql_injection,benign
